REGIAO,UF,CULTURA,AREA_PERIODO_23_24,AREA_PERIODO_24_25,AREA_VAR,PRODU_SAFRA_23_24,PRODU_SAFRA_24_25,PRODU_VAR,PRODUC_SAFRA_23_24,PRODUC_SAFRA_24_25,PRODUC_VAR
NORTE,RR,SOJA,118.00,118.00,0.00,3000.00,3137.00,4.60,354.00,370.20,4.60
NORTE,RO,SOJA,643.20,686.90,6.80,3547.00,3558.00,0.30,2281.40,2444.00,7.10
NORTE,AC,SOJA,17.50,18.60,6.30,3460.00,3459.00,0.00,60.60,64.30,6.10
NORTE,AM,SOJA,17.70,12.00,-32.20,3060.00,3300.00,7.80,54.20,39.60,-26.90
NORTE,AP,SOJA,7.50,10.00,33.30,2693.00,2618.00,-2.80,20.20,26.20,29.70
NORTE,PA,SOJA,1129.30,1219.60,8.00,3598.00,3355.00,-6.80,4063.20,4091.80,0.70
NORTE,TO,SOJA,1456.70,1482.90,1.80,3141.00,3570.00,13.70,4575.50,5294.00,15.70
NORDESTE,MA,SOJA,1329.70,1420.10,6.80,3312.00,3332.00,0.60,4404.00,4731.80,7.40
NORDESTE,PI,SOJA,1087.00,1097.90,1.00,3540.00,3612.00,2.00,3848.00,3965.60,3.10
NORDESTE,CE,SOJA,3.90,3.90,0.00,3463.00,3679.00,6.20,13.50,14.30,5.90
NORDESTE,RN,SOJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NORDESTE,PB,SOJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NORDESTE,PE,SOJA,0.80,0.80,0.00,3000.00,3000.00,0.00,2.40,2.40,0.00
NORDESTE,AL,SOJA,6.20,6.90,10.70,3200.00,3075.00,-3.90,19.80,21.20,7.10
NORDESTE,SE,SOJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NORDESTE,BA,SOJA,1979.20,2135.60,7.90,3780.00,3950.00,4.50,7481.40,8435.60,12.80
CENTRO-OESTE,MT,SOJA,12376.10,12735.00,2.90,3179.00,3808.00,19.80,39343.60,48494.90,23.30
CENTRO-OESTE,MS,SOJA,4124.30,4253.40,3.13,2825.00,3180.00,12.60,11651.10,13525.80,16.10
CENTRO-OESTE,GO,SOJA,4833.90,4954.70,2.50,3480.00,4079.00,17.20,16822.00,20210.20,20.10
CENTRO-OESTE,DF,SOJA,88.70,88.40,-0.30,3480.00,3725.00,7.00,308.70,329.30,6.70
SUDESTE,MG,SOJA,2251.60,2328.20,3.40,3460.00,3905.00,12.90,7790.50,9091.60,16.70
SUDESTE,ES,SOJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SUDESTE,RJ,SOJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SUDESTE,SP,SOJA,1304.70,1355.60,3.90,2800.00,3700.00,32.10,3653.20,5015.70,37.30
SUL,PR,SOJA,5816.60,5863.10,0.80,3155.00,3598.00,14.00,18351.40,21095.40,15.00
SUL,SC,SOJA,792.10,819.80,3.50,3750.00,3710.00,-1.10,2970.40,3041.50,2.40
SUL,RS,SOJA,6764.90,6839.30,1.10,2905.00,2495.00,-14.10,19652.00,17064.10,-13.20
NORTE,RR,MILHO,9.00,9.00,0.00,6000.00,6000.00,0.00,54.00,54.00,0.00
NORTE,RO,MILHO,333.90,380.40,13.90,5124.01,5251.71,2.50,1710.90,1997.80,16.80
NORTE,AC,MILHO,38.70,41.00,5.90,3263.17,3323.95,1.90,126.30,136.30,7.90
NORTE,AM,MILHO,8.50,8.30,-2.40,3262.00,3209.00,-1.60,27.70,26.60,-4.00
NORTE,AP,MILHO,2.30,2.30,0.00,977.00,977.00,0.00,2.20,2.20,0.00
NORTE,PA,MILHO,491.90,503.30,2.30,3577.01,3610.14,0.90,1759.50,1817.00,3.30
NORTE,TO,MILHO,395.20,438.30,10.90,5335.05,5465.71,2.40,2108.40,2395.60,13.60
NORDESTE,MA,MILHO,551.00,553.20,0.40,4993.12,4937.12,-1.10,2751.20,2731.20,-0.70
NORDESTE,PI,MILHO,418.10,503.30,20.40,3696.14,4587.78,24.10,1545.40,2309.00,49.40
NORDESTE,CE,MILHO,602.10,615.30,2.20,1132.00,1001.00,-11.60,681.60,615.90,-9.60
NORDESTE,RN,MILHO,67.40,67.40,0.00,342.00,549.00,60.50,23.10,37.00,60.20
NORDESTE,PB,MILHO,117.00,117.80,0.70,565.00,675.00,19.50,66.10,79.50,20.30
NORDESTE,PE,MILHO,194.10,196.20,1.10,1195.85,971.01,-18.80,232.10,190.50,-17.90
NORDESTE,AL,MILHO,48.00,54.10,12.70,2526.00,2635.00,4.30,121.20,142.60,17.70
NORDESTE,SE,MILHO,183.60,183.60,0.00,5078.00,5078.00,0.00,932.30,932.30,0.00
NORDESTE,BA,MILHO,766.50,726.30,-5.20,3859.42,3659.15,-5.20,2958.20,2657.60,-10.20
CENTRO-OESTE,MT,MILHO,7055.00,7098.80,0.60,6916.41,6589.73,-4.70,48795.30,46779.20,-4.10
CENTRO-OESTE,MS,MILHO,2136.10,2126.10,-0.50,3782.85,5484.54,45.00,8080.50,11660.70,44.30
CENTRO-OESTE,GO,MILHO,1741.40,1779.60,2.20,6509.39,6800.73,4.50,11335.50,12102.60,6.80
CENTRO-OESTE,DF,MILHO,50.50,56.20,11.30,6890.10,7451.79,8.20,348.00,418.80,20.30
SUDESTE,MG,MILHO,1143.20,1089.40,-4.70,5359.37,5870.55,9.50,6126.80,6395.40,4.40
SUDESTE,ES,MILHO,16.80,16.80,0.00,3509.32,3508.50,0.00,59.00,58.90,-0.20
SUDESTE,RJ,MILHO,1.50,1.60,6.70,4544.00,4534.00,-0.20,6.80,7.30,7.40
SUDESTE,SP,MILHO,755.20,744.80,-1.40,4804.15,5386.38,12.10,3628.10,4011.80,10.60
SUL,PR,MILHO,2808.80,2821.20,0.40,5338.91,5939.83,11.30,14995.90,16757.50,11.70
SUL,SC,MILHO,300.10,289.90,-3.40,7900.00,10100.00,27.80,2370.80,2928.00,23.50
SUL,RS,MILHO,814.90,719.60,-11.70,5952.00,7664.00,28.80,4850.30,5515.00,13.70
